wmo_code;name;region_name
23708;Лунь;Республика Коми
23707;Усть-Вымь;Республика Коми
23704;Емва;Республика Коми
23311;Мишвань;Республика Коми
23305;Окунев Нос;Республика Коми
23612;Вуктыл;Республика Коми
23608;Месью;Республика Коми
23519;Верхний Щугор;Республика Коми
23518;Усть-Щугер;Республика Коми
23507;Тиман;Республика Коми
23514;Ираёль;Республика Коми
23509;Кедвавом;Республика Коми
23503;Ижма;Республика Коми
23501;Левкинская;Республика Коми
23423;Хальмер-Ю;Республика Коми
23416;Кожим Рудник;Республика Коми
23412;Усть-Уса;Республика Коми
22695;Кослан;Республика Коми
23405;Усть-Цильма;Республика Коми
23418;Печора;Республика Коми
23411;Мутный Материк;Республика Коми
23410;Усинск;Республика Коми
23332;Полярный Урал;Республика Коми
23327;Инта;Республика Коми
23324;Петрунь;Республика Коми
22686;Вендинга;Республика Коми
22996;Объячево;Республика Коми
23316;Адзьва-Вом;Республика Коми
23904;Койгородок;Республика Коми
23804;Сыктывкар;Республика Коми
23803;Усть-Кулом;Республика Коми
23220;Елецкая;Республика Коми
23226;Воркута;Республика Коми
23711;Троицко-Печорск;Республика Коми
23701;Весляна;Республика Коми
23606;Ухта;Республика Коми
23813;Усть-Унья;Республика Коми
23812;Якша;Республика Коми
23807;Пустошь;Республика Коми
23709;Помоздино;Республика Коми
22559;Холмогоры;Архангельская область
22555;Васьково;Архангельская область
22563;Пинега;Архангельская область
22573;Лешуконское;Архангельская область
22583;Койнас;Архангельская область
22638;Калгачиха;Архангельская область
22641;Онега;Архангельская область
22648;Турчасово;Архангельская область
22656;Емецк;Архангельская область
22657;Емца;Архангельская область
22671;Карпогоры;Архангельская область
22676;Сура;Архангельская область
22749;Конево;Архангельская область
22762;Двинской Березник;Архангельская область
22768;Шенкурск;Архангельская область
22778;Верхняя Тойма;Архангельская область
22781;Окуловская;Архангельская область
22798;Яренск;Архангельская область
22845;Каргополь;Архангельская область
22854;Няндома;Архангельская область
22867;Вельск;Архангельская область
22869;Шангалы;Архангельская область
22876;Красноборск;Архангельская область
22887;Котлас;Архангельская область
22888;Курцево;Архангельская область
22889;Вилегодское;Архангельская область
22951;Коноша;Архангельская область
22361;Моржовец;Архангельская область
22365;Абрамовский Маяк;Архангельская область
22429;Соловки;Архангельская область
22438;Жижгин;Архангельская область
22446;Зимнегорский Маяк;Архангельская область
22452;Инцы;Архангельская область
22456;Кепино;Архангельская область
22471;Мезень;Архангельская область
22481;Мосеево;Архангельская область
22499;Борковская;Архангельская область
22541;Унский Маяк;Архангельская область
22546;Северодвинск;Архангельская область
22550;Архангельск;Архангельская область
22551;Мудьюг;Архангельская область
23103;Ходовариха;Ненецкий автономный округ
20034;Хагурское;Ненецкий автономный округ
20026;О. Виктория;Ненецкий автономный округ
20943;Мыс Меньшикова;Ненецкий автономный округ
20946;им. Е. К. Федорова;Ненецкий автономный округ
22095;Колгуев Северный;Ненецкий автономный округ
22165;Канин Нос;Ненецкий автономный округ
22193;Бугрино;Ненецкий автономный округ
22269;Мыс Конушин;Ненецкий автономный округ
22271;Шойна;Ненецкий автономный округ
22282;Мыс Микулкин;Ненецкий автономный округ
22292;Индига;Ненецкий автономный округ
22375;Несь;Ненецкий автономный округ
22383;Нижняя Пеша;Ненецкий автономный округ
23020;Югорский Шар;Ненецкий автономный округ
23022;Амдерма;Ненецкий автономный округ
23024;Мыс Белый Нос;Ненецкий автономный округ
23029;Усть-Кара;Ненецкий автономный округ
23104;Сенгейский Шар;Ненецкий автономный округ
23105;Тобседа;Ненецкий автономный округ
23109;Мыс Болванский;Ненецкий автономный округ
23112;Варандей;Ненецкий автономный округ
23114;Мыс Константиновский;Ненецкий автономный округ
23121;Коротаиха;Ненецкий автономный округ
23205;Нарьян-Мар;Ненецкий автономный округ
20046;им. Кренкеля;Ненецкий автономный округ
20049;О. Рудольфа;Ненецкий автономный округ
20353;Мыс Желания;Ненецкий автономный округ
20357;Русская Гавань;Ненецкий автономный округ
20744;Малые Кармкулы;Ненецкий автономный округ
23207;Коткино;Ненецкий автономный округ
23214;Шапкино;Ненецкий автономный округ
23215;Хорей-Вер;Ненецкий автономный округ
23219;Хоседа-Хард;Ненецкий автономный округ
27199;Киров-1;Кировская область
27281;Шабалино;Кировская область
27283;Котельнич;Кировская область
27295;Верхошижемье;Кировская область
27296;Кумены;Кировская область
27385;Яранск;Кировская область
27393;Нолинск;Кировская область
27480;Санчурск;Кировская область
28007;Нагорское;Кировская область
28009;Кирс;Кировская область
28105;Белая Холуница;Кировская область
28109;Омутнинск;Кировская область
28202;Фаленки;Кировская область
28302;Уни;Кировская область
28307;Уржум;Кировская область
28402;Кильмезь;Кировская область
28502;Вятские Поляны;Кировская область
22988;Подосиновец;Кировская область
22983;Лальск;Кировская область
27083;Опарино;Кировская область
27097;Мураши;Кировская область
27185;Даровское;Кировская область
27196;Киров-2;Кировская область
23917;Красновишерск;Пермский край
23914;Чердынь;Пермский край
23913;Вая;Пермский край
23912;Ныроб;Пермский край
23909;Гайны;Пермский край
23905;Усть-Чёрная;Пермский край
23815;Тулпан;Пермский край
28128;Чермоз;Пермский край
28429;Октябрьский;Пермский край
28428;Чернушка;Пермский край
28413;Чайковский;Пермский край
28326;Кунгур;Пермский край
28324;Оса;Пермский край
28321;Оханск;Пермский край
28319;Ножовка;Пермский край
28313;Большая Соснова;Пермский край
28238;Кын;Пермский край
28234;Лысьва;Пермский край
28228;Большое Савино;Пермский край
28225;Пермь-2;Пермский край
28224;Пермь-1;Пермский край
28222;Добрянка;Пермский край
28216;Верещагино;Пермский край
28138;Бисер;Пермский край
28134;Губаха;Пермский край
28131;Кизел;Пермский край
28116;Кудымкар;Пермский край
28029;Березники;Пермский край
28016;Кочево;Пермский край
28013;Коса;Пермский край
22727;Кондопога;Республика Карелия
22710;Поросозеро;Республика Карелия
22833;Колодозеро;Республика Карелия
22738;Куганаволок;Республика Карелия
22717;Суоярви;Республика Карелия
22820;Петрозаводск;Республика Карелия
22802;Сортавала;Республика Карелия
22805;о. Валаам;Республика Карелия
22912;Олонец;Республика Карелия
22824;Ладва;Республика Карелия
22816;Пряжа;Республика Карелия
22707;Вяртсиля;Республика Карелия
22529;Колежма;Республика Карелия
22602;Реболы;Республика Карелия
22526;Жужмуй;Республика Карелия
22525;Разнаволок;Республика Карелия
22408;Калевала;Республика Карелия
22511;Юшкозеро;Республика Карелия
22621;Сегежа;Республика Карелия
22305;Зашеек;Республика Карелия
22403;Кестеньга;Республика Карелия
22318;Лоухи;Республика Карелия
22422;Гридино;Республика Карелия
22522;Кемь-Порт;Республика Карелия
22413;Энгозеро;Республика Карелия
22518;Ругозеро;Республика Карелия
22619;Паданы;Республика Карелия
22721;Медвежьегорск;Республика Карелия
22723;Данилово;Республика Карелия
22823;Маячный;Республика Карелия
22725;Бор-Пуданцев;Республика Карелия
22831;Пудож;Республика Карелия
